NIF,Postal Code,Occupation,Marital Status
987190907,1825,Exec-managerial,Married-civ-spouse
914474386,2768,Machine-op-inspct,Never-married
826060001,1988,Other-service,Married-civ-spouse
881353865,2733,Other-service,Never-married
925715401,1947,Prof-specialty,Never-married
713128651,1475,Craft-repair,Married-civ-spouse
994890134,2235,Exec-managerial,Widowed
920682736,1726,Craft-repair,Married-civ-spouse
799555428,1209,Exec-managerial,Married-civ-spouse
701701280,1287,Transport-moving,Married-civ-spouse
999099214,2368,Prof-specialty,Married-civ-spouse
912530651,1271,Prof-specialty,Never-married
986722409,1501,Other-service,Married-civ-spouse
805957225,1943,Exec-managerial,Married-civ-spouse
808119350,1268,Craft-repair,Never-married
969038602,2681,Adm-clerical,Married-civ-spouse
710853938,2402,,Widowed
957755396,1063,,Never-married
700228374,1395,Tech-support,Married-civ-spouse
730567394,2242,Handlers-cleaners,Never-married
762035332,2672,Other-service,Separated
769432930,1890,Prof-specialty,Divorced
764592176,2302,Other-service,Never-married
965247431,2679,Transport-moving,Married-civ-spouse
923402614,2077,Adm-clerical,Married-civ-spouse
788923490,1536,Sales,Never-married
866672785,2695,Other-service,Never-married
759145759,1053,Sales,Married-spouse-absent
893620454,2335,Adm-clerical,Never-married
918852374,1608,Sales,Never-married
831166415,1303,Prof-specialty,Never-married
715450359,2693,Transport-moving,Divorced
823986920,2245,Other-service,Divorced
903112320,1616,Adm-clerical,Married-civ-spouse
945121873,2658,Machine-op-inspct,Married-civ-spouse
879334164,1769,Craft-repair,Married-civ-spouse
841512737,2629,Machine-op-inspct,Never-married
994175067,2609,Craft-repair,Married-civ-spouse
934207972,1096,Exec-managerial,Married-civ-spouse
876945964,2432,Adm-clerical,Never-married
732476936,1416,,Widowed
963732603,2566,Prof-specialty,Never-married
968431293,1545,Other-service,Divorced
767210354,2578,Other-service,Divorced
734271091,2257,Transport-moving,Never-married
996594555,2034,Other-service,Never-married
855035515,2630,Craft-repair,Divorced
807646882,1486,Exec-managerial,Widowed
754697328,2619,Exec-managerial,Married-civ-spouse
839344604,1483,Transport-moving,Divorced
834352614,1667,,Never-married
754559376,2147,Sales,Never-married
728780511,1488,Sales,Married-civ-spouse
794216465,2562,Exec-managerial,Never-married
940232528,1236,,Never-married
856798942,2454,Sales,Never-married
846221311,1093,Transport-moving,Married-civ-spouse
770665267,1595,Adm-clerical,Widowed
703854063,2546,Sales,Married-civ-spouse
782317858,2623,Other-service,Married-civ-spouse
934394479,1455,Sales,Married-civ-spouse
741711780,1673,Sales,Never-married
898758024,1032,Transport-moving,Married-civ-spouse
711849766,1024,Transport-moving,Married-civ-spouse
816170352,1545,Machine-op-inspct,Never-married
895778146,1779,Craft-repair,Married-civ-spouse
848257878,1064,Adm-clerical,Married-civ-spouse
792919241,1563,Sales,Never-married
981300145,2055,Prof-specialty,Married-civ-spouse
