NIF,Postal Code_x,Occupation,Marital Status,Date of Birth,Education Status,Chlamydia,Gonorrhea,Syphilis,Postal Code_y,Earnings
987190907,1825,Exec-managerial,Married-civ-spouse,02/08/2001,14,False,False,False,1825,<=50K
987190907,1825,Exec-managerial,Married-civ-spouse,23/08/1992,10,False,False,False,1825,<=50K
987190907,1825,Exec-managerial,Married-civ-spouse,16/02/2009,10,False,False,False,1825,>50K
826060001,1988,Other-service,Married-civ-spouse,07/02/1987,11,False,False,False,1988,<=50K
826060001,1988,Other-service,Married-civ-spouse,23/09/1962,9,False,False,False,1988,<=50K
826060001,1988,Other-service,Married-civ-spouse,19/05/1958,9,False,False,False,1988,<=50K
826060001,1988,Other-service,Married-civ-spouse,14/04/1984,9,False,False,False,1988,<=50K
826060001,1988,Other-service,Married-civ-spouse,06/09/1957,7,False,False,False,1988,<=50K
881353865,2733,Other-service,Never-married,24/06/1999,9,False,False,False,2733,<=50K
881353865,2733,Other-service,Never-married,21/02/1994,13,False,False,False,2733,<=50K
881353865,2733,Other-service,Never-married,28/04/1955,10,False,False,False,2733,<=50K
925715401,1947,Prof-specialty,Never-married,01/08/1965,16,False,False,False,1947,>50K
925715401,1947,Prof-specialty,Never-married,31/01/1980,13,False,False,False,1947,<=50K
713128651,1475,Craft-repair,Married-civ-spouse,18/09/1981,13,False,False,False,1475,<=50K
713128651,1475,Craft-repair,Married-civ-spouse,06/04/2002,11,False,False,False,1475,>50K
713128651,1475,Craft-repair,Married-civ-spouse,22/05/1960,4,False,False,False,1475,<=50K
713128651,1475,Craft-repair,Married-civ-spouse,12/11/1970,4,False,False,False,1475,<=50K
994890134,2235,Exec-managerial,Widowed,25/09/1980,11,False,False,False,2235,<=50K
994890134,2235,Exec-managerial,Widowed,08/11/1961,10,False,False,False,2235,>50K
994890134,2235,Exec-managerial,Widowed,15/02/2012,9,False,False,False,2235,<=50K
920682736,1726,Craft-repair,Married-civ-spouse,04/12/1993,7,False,False,False,1726,<=50K
920682736,1726,Craft-repair,Married-civ-spouse,27/12/1967,10,False,False,False,1726,>50K
799555428,1209,Exec-managerial,Married-civ-spouse,20/11/1993,9,False,False,False,1209,<=50K
799555428,1209,Exec-managerial,Married-civ-spouse,07/04/1966,9,False,False,False,1209,<=50K
799555428,1209,Exec-managerial,Married-civ-spouse,07/11/1971,13,False,False,False,1209,<=50K
701701280,1287,Transport-moving,Married-civ-spouse,09/07/1990,9,False,True,False,1287,<=50K
999099214,2368,Prof-specialty,Married-civ-spouse,06/02/2006,10,False,False,False,2368,>50K
999099214,2368,Prof-specialty,Married-civ-spouse,19/08/2005,14,False,False,False,2368,<=50K
999099214,2368,Prof-specialty,Married-civ-spouse,15/02/1974,14,False,False,False,2368,>50K
999099214,2368,Prof-specialty,Married-civ-spouse,08/10/1966,15,False,False,False,2368,>50K
999099214,2368,Prof-specialty,Married-civ-spouse,27/03/1960,10,False,False,False,2368,<=50K
912530651,1271,Prof-specialty,Never-married,04/09/1983,14,False,False,False,1271,<=50K
912530651,1271,Prof-specialty,Never-married,20/03/1972,10,False,False,False,1271,>50K
912530651,1271,Prof-specialty,Never-married,30/05/1952,14,False,False,False,1271,<=50K
912530651,1271,Prof-specialty,Never-married,15/12/2010,13,False,False,False,1271,<=50K
986722409,1501,Other-service,Married-civ-spouse,21/12/1989,9,False,False,False,1501,<=50K
986722409,1501,Other-service,Married-civ-spouse,04/09/2012,10,False,False,False,1501,<=50K
986722409,1501,Other-service,Married-civ-spouse,04/12/1977,1,False,False,False,1501,<=50K
986722409,1501,Other-service,Married-civ-spouse,24/05/1975,9,False,False,False,1501,<=50K
805957225,1943,Exec-managerial,Married-civ-spouse,02/10/1992,13,False,False,False,1943,>50K
805957225,1943,Exec-managerial,Married-civ-spouse,26/09/1995,10,False,False,False,1943,<=50K
805957225,1943,Exec-managerial,Married-civ-spouse,26/08/1990,10,False,False,False,1943,<=50K
808119350,1268,Craft-repair,Never-married,21/05/1986,10,False,False,False,1268,<=50K
808119350,1268,Craft-repair,Never-married,04/02/1983,9,False,False,False,1268,>50K
808119350,1268,Craft-repair,Never-married,01/04/1962,9,False,False,False,1268,<=50K
808119350,1268,Craft-repair,Never-married,24/11/1973,9,False,False,False,1268,<=50K
808119350,1268,Craft-repair,Never-married,26/03/1966,10,False,False,False,1268,<=50K
969038602,2681,Adm-clerical,Married-civ-spouse,23/12/2010,9,True,False,False,2681,<=50K
969038602,2681,Adm-clerical,Married-civ-spouse,25/02/2005,10,False,False,False,2681,<=50K
969038602,2681,Adm-clerical,Married-civ-spouse,13/08/1987,10,False,False,False,2681,<=50K
710853938,2402,,Widowed,18/06/1952,10,False,False,False,2402,>50K
710853938,2402,,Widowed,14/11/1962,9,False,False,False,2402,<=50K
710853938,2402,,Widowed,22/05/1957,9,False,False,False,2402,<=50K
710853938,2402,,Widowed,10/07/1986,10,False,False,False,2402,<=50K
710853938,2402,,Widowed,27/11/2000,6,False,False,False,2402,<=50K
957755396,1063,,Never-married,16/04/1995,9,False,False,False,1063,<=50K
957755396,1063,,Never-married,02/05/1981,13,False,False,False,1063,<=50K
957755396,1063,,Never-married,03/01/1992,10,False,False,False,1063,<=50K
700228374,1395,Tech-support,Married-civ-spouse,25/06/1983,9,False,False,False,1395,<=50K
762035332,2672,Other-service,Separated,19/04/1973,4,False,False,False,2672,<=50K
762035332,2672,Other-service,Separated,02/11/1992,13,False,False,False,2672,<=50K
769432930,1890,Prof-specialty,Divorced,28/03/1983,15,False,False,False,1890,>50K
764592176,2302,Other-service,Never-married,11/02/1992,9,False,False,False,2302,<=50K
764592176,2302,Other-service,Never-married,12/11/1954,6,False,False,False,2302,<=50K
764592176,2302,Other-service,Never-married,03/09/1960,9,False,False,False,2302,<=50K
965247431,2679,Transport-moving,Married-civ-spouse,07/01/1975,9,False,False,False,2679,<=50K
965247431,2679,Transport-moving,Married-civ-spouse,27/10/2003,9,False,False,False,2679,>50K
923402614,2077,Adm-clerical,Married-civ-spouse,20/04/1963,9,True,False,False,2077,>50K
788923490,1536,Sales,Never-married,22/09/1968,9,False,False,False,1536,<=50K
788923490,1536,Sales,Never-married,08/10/1998,13,False,False,False,1536,>50K
788923490,1536,Sales,Never-married,19/08/1982,10,False,False,False,1536,<=50K
788923490,1536,Sales,Never-married,19/08/1982,10,False,False,False,1536,<=50K
866672785,2695,Other-service,Never-married,05/04/1988,10,False,False,False,2695,<=50K
866672785,2695,Other-service,Never-married,24/07/1958,9,False,False,False,2695,<=50K
866672785,2695,Other-service,Never-married,24/07/1958,9,False,False,False,2695,<=50K
866672785,2695,Other-service,Never-married,05/05/2008,9,False,False,False,2695,<=50K
759145759,1053,Sales,Married-spouse-absent,25/12/2011,13,False,False,False,1053,>50K
893620454,2335,Adm-clerical,Never-married,27/09/2007,7,False,True,False,2335,<=50K
893620454,2335,Adm-clerical,Never-married,24/04/1982,10,False,False,False,2335,<=50K
893620454,2335,Adm-clerical,Never-married,05/12/2003,9,False,False,False,2335,<=50K
918852374,1608,Sales,Never-married,16/01/1962,13,True,False,False,1608,>50K
918852374,1608,Sales,Never-married,20/07/1951,9,False,False,False,1608,<=50K
918852374,1608,Sales,Never-married,24/10/1970,9,False,False,False,1608,<=50K
831166415,1303,Prof-specialty,Never-married,23/12/1996,13,False,True,False,1303,<=50K
831166415,1303,Prof-specialty,Never-married,29/06/1979,14,False,False,False,1303,<=50K
831166415,1303,Prof-specialty,Never-married,31/07/1990,13,False,False,False,1303,>50K
831166415,1303,Prof-specialty,Never-married,27/05/1963,14,False,False,False,1303,<=50K
715450359,2693,Transport-moving,Divorced,17/09/2005,9,False,False,False,2693,<=50K
823986920,2245,Other-service,Divorced,13/11/1977,10,False,False,False,2245,<=50K
903112320,1616,Adm-clerical,Married-civ-spouse,01/08/1972,9,True,False,False,1616,<=50K
903112320,1616,Adm-clerical,Married-civ-spouse,01/12/2001,9,False,False,False,1616,<=50K
903112320,1616,Adm-clerical,Married-civ-spouse,24/09/1995,9,False,False,False,1616,<=50K
903112320,1616,Adm-clerical,Married-civ-spouse,23/05/1958,9,False,False,False,1616,<=50K
903112320,1616,Adm-clerical,Married-civ-spouse,28/01/1961,10,False,False,False,1616,<=50K
945121873,2658,Machine-op-inspct,Married-civ-spouse,24/06/1988,13,True,False,False,2658,>50K
879334164,1769,Craft-repair,Married-civ-spouse,29/05/1960,9,False,False,False,1769,>50K
879334164,1769,Craft-repair,Married-civ-spouse,09/08/2006,9,False,False,False,1769,>50K
879334164,1769,Craft-repair,Married-civ-spouse,29/06/1973,6,False,False,False,1769,<=50K
841512737,2629,Machine-op-inspct,Never-married,23/06/1967,9,False,False,False,2629,<=50K
841512737,2629,Machine-op-inspct,Never-married,24/02/1956,9,False,False,False,2629,<=50K
841512737,2629,Machine-op-inspct,Never-married,11/06/2008,10,False,False,False,2629,<=50K
994175067,2609,Craft-repair,Married-civ-spouse,11/05/2001,10,False,False,False,2609,<=50K
994175067,2609,Craft-repair,Married-civ-spouse,04/09/1958,9,False,False,False,2609,<=50K
994175067,2609,Craft-repair,Married-civ-spouse,10/03/1968,10,False,False,False,2609,>50K
994175067,2609,Craft-repair,Married-civ-spouse,03/11/2003,10,False,False,False,2609,<=50K
934207972,1096,Exec-managerial,Married-civ-spouse,04/07/1955,14,False,False,False,1096,>50K
876945964,2432,Adm-clerical,Never-married,28/10/1952,9,False,False,False,2432,<=50K
876945964,2432,Adm-clerical,Never-married,06/09/1969,9,False,False,False,2432,<=50K
876945964,2432,Adm-clerical,Never-married,21/12/1958,9,False,False,False,2432,<=50K
732476936,1416,,Widowed,02/05/1974,9,False,False,False,1416,<=50K
963732603,2566,Prof-specialty,Never-married,16/10/2005,10,False,False,False,2566,<=50K
963732603,2566,Prof-specialty,Never-married,09/04/2000,13,False,False,False,2566,<=50K
968431293,1545,Other-service,Divorced,18/04/1997,6,True,False,False,1545,<=50K
968431293,1545,Other-service,Divorced,07/12/2005,10,False,False,False,1545,<=50K
767210354,2578,Other-service,Divorced,01/08/2011,9,False,False,False,2578,<=50K
767210354,2578,Other-service,Divorced,19/01/1990,7,False,False,False,2578,<=50K
767210354,2578,Other-service,Divorced,29/03/1958,3,False,False,False,2578,<=50K
734271091,2257,Transport-moving,Never-married,18/01/1975,9,False,False,False,2257,<=50K
996594555,2034,Other-service,Never-married,07/02/1962,7,False,False,False,2034,<=50K
996594555,2034,Other-service,Never-married,16/03/1966,10,False,False,False,2034,<=50K
996594555,2034,Other-service,Never-married,16/03/1966,10,False,False,False,2034,<=50K
996594555,2034,Other-service,Never-married,16/03/1966,10,False,False,False,2034,<=50K
996594555,2034,Other-service,Never-married,14/10/1960,9,False,False,False,2034,<=50K
996594555,2034,Other-service,Never-married,18/12/1970,10,False,False,False,2034,<=50K
996594555,2034,Other-service,Never-married,29/11/1961,10,False,False,False,2034,<=50K
855035515,2630,Craft-repair,Divorced,23/02/1983,9,True,False,False,2630,<=50K
855035515,2630,Craft-repair,Divorced,22/11/1985,9,False,False,False,2630,<=50K
807646882,1486,Exec-managerial,Widowed,14/03/1957,10,False,False,False,1486,<=50K
754697328,2619,Exec-managerial,Married-civ-spouse,31/05/1999,10,False,False,False,2619,<=50K
754697328,2619,Exec-managerial,Married-civ-spouse,31/05/1999,10,False,False,False,2619,>50K
754697328,2619,Exec-managerial,Married-civ-spouse,17/09/1976,10,False,False,False,2619,>50K
839344604,1483,Transport-moving,Divorced,08/07/1992,9,True,False,False,1483,<=50K
839344604,1483,Transport-moving,Divorced,27/07/2011,9,False,False,False,1483,<=50K
834352614,1667,,Never-married,17/05/2000,13,True,False,False,1667,<=50K
834352614,1667,,Never-married,25/09/1999,9,False,False,False,1667,<=50K
