Date of Birth,Education Status,Occupation,Earnings,Postal Code,Chlamydia,Gonorrhea,Syphilis,NIF,Marital Status
29/12/1978,9,Machine-op-inspct,<=50K,1624,False,False,False,851614035,Married-civ-spouse
10/09/1969,9,Craft-repair,<=50K,1183,False,False,False,964536255,Married-spouse-absent
09/07/1990,9,Transport-moving,<=50K,1287,False,True,False,701701280,Married-civ-spouse
25/06/1983,9,Tech-support,<=50K,1395,False,False,False,700228374,Married-civ-spouse
26/11/1974,9,Prof-specialty,<=50K,1911,False,False,False,999282591,Married-civ-spouse
20/04/1963,9,Adm-clerical,>50K,2077,True,False,False,923402614,Married-civ-spouse
17/09/2005,9,Transport-moving,<=50K,2693,False,False,False,715450359,Divorced
24/06/1988,13,Machine-op-inspct,>50K,2658,True,False,False,945121873,Married-civ-spouse
02/05/1974,9,,<=50K,1416,False,False,False,732476936,Widowed
25/12/2011,13,Sales,>50K,1053,False,False,False,759145759,Married-spouse-absent
18/01/1975,9,Transport-moving,<=50K,2257,False,False,False,734271091,Never-married
31/07/1958,13,Sales,>50K,1693,False,False,False,704746366,Married-civ-spouse
14/03/1957,10,Exec-managerial,<=50K,1486,False,False,False,807646882,Widowed
11/03/1962,10,Adm-clerical,<=50K,2176,False,False,False,905086861,Never-married
01/12/1978,16,Prof-specialty,<=50K,2074,False,False,False,957187039,Married-civ-spouse
25/09/1950,12,Sales,>50K,2546,False,False,False,703854063,Married-civ-spouse
17/02/1974,10,,<=50K,2344,False,False,False,802239243,Never-married
12/12/1971,13,,>50K,2363,False,True,False,768689776,Married-civ-spouse
29/04/2003,9,Craft-repair,>50K,2215,False,False,False,783173924,Married-civ-spouse
08/09/2011,14,,<=50K,1105,False,False,False,928210699,Never-married
13/01/1978,11,Tech-support,<=50K,1316,False,False,False,804794575,Divorced
04/05/1988,13,Exec-managerial,>50K,2162,False,False,False,960805396,Married-civ-spouse
04/05/1988,13,Exec-managerial,>50K,2162,False,False,False,910951311,Never-married
02/06/2003,9,Other-service,<=50K,2682,False,False,False,958157371,Never-married
04/11/1982,9,Craft-repair,>50K,2059,False,True,False,718686062,Married-civ-spouse
15/10/1968,4,Transport-moving,<=50K,2223,True,False,False,929958504,Married-civ-spouse
16/07/1954,3,Handlers-cleaners,<=50K,1226,False,False,False,933263653,Separated
07/07/1990,11,,<=50K,2341,False,False,False,727753017,Married-civ-spouse
11/07/2002,11,Exec-managerial,<=50K,2258,False,False,False,733712724,Married-civ-spouse
22/09/2005,11,Exec-managerial,<=50K,1820,False,False,False,793479995,Married-civ-spouse
29/12/1963,6,Transport-moving,>50K,1903,False,False,False,895969948,Married-civ-spouse
20/02/1982,9,Handlers-cleaners,<=50K,1238,False,False,False,779188071,Divorced
16/02/1983,14,Exec-managerial,>50K,1645,False,True,False,939235068,Married-civ-spouse
15/07/1957,13,Protective-serv,<=50K,1565,False,False,False,724955422,Divorced
29/07/2004,13,Exec-managerial,>50K,2741,False,False,False,888282588,Divorced
22/07/1976,5,Transport-moving,>50K,1694,False,False,False,743960458,Never-married
03/11/1976,10,Sales,<=50K,2403,False,False,False,830970685,Divorced
